S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Bebedouro,3506102,bebedourense,LUCAS GIBIN SEREN,683.192,76373,111.79,78257,99.09,0.780,7.66,523453081.4,515675424.1,69967.94,
Bento de Abreu,3506201,bento-abreuense,TEREZINHA DO CARMO SALESSE,301.687,2606,8.64,2640,99.21,0.744,-,40210292.94,36589337.41,110521.93,
Bernardino de Campos,3506300,bernardinense,WILSON JOSE GARCIA,244.158,11607,47.54,11881,99.57,0.734,-,78657217.28,66603548.62,52166.74,
Bertioga,3506359,bertioguense,MARCELO HELENO VILARES,491.546,64188,130.58,67436,98.4,0.730,20.18,1036554597,1018369762,41496.08,
Bilac,3506409,bilaquense,ANT&Ocirc;NIO FERREIRA LOUREIRO,158.025,7319,46.32,7464,99.33,0.768,-,63888997.46,61528316.92,42047.48,
Birigui,3506508,biriguiense,SAMANTA PAULA ALBANI BORINI,530.031,118979,224.48,123340,98.34,0.780,8.27,699605082.5,654509622.3,40902.09,
Biritiba Mirim,3506607,biritibano,CARLOS ALBERTO TAINO JUNIOR,317.406,29683,93.52,30564,99.04,0.712,8.93,167080951,161533410.7,37447.06,
Boa Esperan&ccedil;a do Sul,3506706,boa-esperancense,JOS&Eacute; MANOEL DE SOUZA,690.748,12978,18.79,13113,99.31,0.681,-,114070361.6,102970942.9,48791.5,
Bocaina,3506805,bocainense,CAIO AUGUSTO CREPALDI,363.926,11259,30.94,11480,99.02,0.742,-,77477911.63,67659687.02,33873.02,
Bofete,3506904,bofetense,EUGENIO CARLOS ALVES,654.546,10460,16.01,10710,99.52,0.705,15.5,86241447.42,83478499.4,29615.01,
