S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Lind&oacute;ia,3527009,lindoiano,LUCIANO FRANCISCO DE GODOI LOPES,48.321,7014,143.86,7158,90.56,0.742,29.85,65934046.68,60947285.84,57785.6,
Lins,3527108,linense,JO&Atilde;O LUIS LOPES PANDOLFI,570.058,74779,131.18,76844,99.25,0.786,16.71,413792606.5,386008938.1,115144.13,
Lorena,3527207,lorenense,SYLVIO BALLERINI,414.16,84855,204.88,87468,98.31,0.766,7.91,406229501.5,429199028.4,53047.17,
Lourdes,3527256,lourdense,ODECIO RODRIGUES DA SILVA,113.808,1950,17.11,1962,100,0.742,-,33423825.65,27202960.26,28430.83,
Louveira,3527306,louveirense,PAULO ALBERTO FINAMORE,55.989,51847,930.19,54865,98.19,0.777,8.31,747686052.9,751912529.9,388732.46,
Luc&eacute;lia,3527405,luceliense,TATIANA GUILHERMINO TAZIN&Aacute;ZZIO,314.81,20061,63.72,20378,98.32,0.752,12.9,109958819.7,97131586.44,29912.18,
Lucian&oacute;polis,3527504,lucianopolense,ADEMIR MANTOVANELLI,189.536,2372,12.51,2423,100,0.733,-,31414252.56,26905511.1,58454.61,
Lu&iacute;s Ant&ocirc;nio,3527603,lu&iacute;s-antoniense,RODRIGO MELLO MARQUES,598.257,12265,20.50,12564,99.62,0.731,7.19,137147369.2,133297317.5,194506.06,
Luizi&acirc;nia,3527702,luiziano,RAPHAEL SARAIVA BARRETO,166.576,4701,28.22,4740,97.49,0.702,-,44768476.8,36390316.73,25060.33,
Lup&eacute;rcio,3527801,lupercense,CLEBER MENEGUCCI,155.171,3981,25.66,4004,98.42,0.724,21.28,35942907.84,31216968.2,28948.47,
Lut&eacute;cia,3527900,luteciano,LAUDEMIR LEATI,475.226,2661,5.60,2697,100,0.720,-,37784905.54,33753675.18,50975.06,
Macatuba,3528007,macatubense,ANDERSON FERREIRA,224.514,16829,74.96,17140,99.73,0.770,32.43,135160991.7,133665619.4,41110.42,
Macaubal,3528106,macaubalense,ACACIO TARDOQUE FERREIRA,248.087,7481,30.15,7581,100,0.743,-,56021157.72,52149320.04,32754.73,
Maced&ocirc;nia,3528205,macedoniense,REGINALDO ELOY MARCOMINI DOS REIS,327.567,3963,12.10,4058,100,0.740,-,42645633.5,36987783.83,31226.22,
Magda,3528304,magdense,RODOLFO FERREIRA KAM&Aacute;,312.282,3165,10.14,3211,100,0.753,-,40692101.43,38741062.43,53380.36,
Mairinque,3528403,mairinquense,CARLOS EDUARDO THOMAZ PEDROSO,210.149,50027,238.05,51888,98.33,0.743,22.29,275756810.9,254820134.8,58437.71,
Mairipor&atilde;,3528502,mairiporense,WALID ALI HAMID,320.492,93853,292.65,97835,94.78,0.788,4.4,622595612.1,592584332.6,29484.21,
Manduri,3528601,mandurinense,PAULO ROBERTO MARTINS,229.046,9871,43.10,10122,100,0.739,11.11,66035439.52,57614967.33,36583.77,
Marab&aacute; Paulista,3528700,marabaense,APARECIDO NASCIMENTO SOBRAL,919.519,4573,4.97,4619,99.3,0.677,-,45361453.56,40843493.09,44099.67,
Maraca&iacute;,3528809,maracaiense,PAULO EDUARDO DA SILVA,533.498,12673,23.75,12804,99.28,0.771,16.13,109788671.6,96099828.75,82038.64,
Marapoama,3528858,marapoamense,LOUREN&Ccedil;O LORENCETI,111.267,3292,29.59,3415,100,0.752,21.74,40073221.05,35553620.65,49684.57,
Mari&aacute;polis,3528908,mariapolense,RICARDO MITSURO WATANABE,186.432,3513,18.83,3526,99.16,0.718,-,33065717.68,30427129.19,25691.6,
Mar&iacute;lia,3529005,mariliense,VINICIUS ALMEIDA CAMARINHA,1170.515,237627,203.01,247348,97.13,0.798,13.7,1576737777,1690071723,52635.31,
Marin&oacute;polis,3529104,marinopolense,EVALDO RIBEIRO,77.827,1860,23.90,1862,100,0.731,-,29505684.95,29890930.62,30303.55,
Martin&oacute;polis,3529203,martinopolense,VALDECI SOARES DOS SANTOS FILHO,1251.492,24881,19.85,25240,99.39,0.721,7.35,151035634.5,130326860.7,38158.28,
Mat&atilde;o,3529302,matonense,APARECIDO FERRARI,524.899,79033,150.57,81075,99.06,0.773,13.11,463498726.4,456819991.2,96754.27,
Mau&aacute;,3529401,mauaense,FRANCISCO MARCELO DE OLIVEIRA,62.034,418261,6753.01,429014,98.91,0.766,13.4,1853444660,1730325115,59773.04,
Mendon&ccedil;a,3529500,mendoncino,JULIANO SOUZA DE OLIVEIRA,195.151,6159,31.56,6420,100,0.744,-,66087894.21,56555336.5,96402.8,
Meridiano,3529609,meridianense,F&Aacute;BIO PASCHOALINOTO,228.199,4572,20.04,4721,99.56,0.731,-,53688727.56,50442246.88,95701.68,
Mes&oacute;polis,3529658,mesopolense,ALEX ROCHA PIMENTEL,148.636,1952,13.13,1990,100,0.724,-,34435079.07,30612582.95,55497.61,
Miguel&oacute;polis,3529708,miguelopense,JULIO FERREIRA DO CARMO,820.849,19441,23.68,19621,97.54,0.741,9.8,160849526.9,143975145.8,57255.19,
Mineiros do Tiet&ecirc;,3529807,mineiros-tieteense,LUIZ GUSTAVO FERRAREZ,213.242,11230,52.66,11322,99.59,0.730,16.95,65072801.62,59075603.29,27599.41,
Miracatu,3529906,miracatuense,VIN&Iacute;CIUS BRAND&Atilde;O DE QUEIROZ,1002.2,18553,18.53,18610,99.44,0.697,4.29,152276846.2,136376149.7,30228.35,
Mira Estrela,3530003,mira-estrelense,GLEICE APARECIDA CASTREQUINI,216.825,3126,14.42,3209,98.55,0.743,62.5,42448184.36,39459150.21,24708.95,
Mirand&oacute;polis,3530102,mirandopolense,EDERSON PANTALEAO DE SOUZA,917.692,27983,30.49,28754,99.36,0.751,8.97,158602220,142820586.6,34979.03,
Mirante do Paranapanema,3530201,mirantense,EDUARDO QUESADA PIAZZALUNGA,1238.931,15917,12.85,16031,100,0.724,7.46,126597756.6,127075411.6,40906.45,
Mirassol,3530300,mirassolense,EDSON ANTONIO ERMENEGILDO,243.228,63337,260.40,65811,98.92,0.762,9.04,352525595.7,296399290.5,52826.75,
Mirassol&acirc;ndia,3530409,mirassolandense,C&Eacute;LIA APARECIDA FIAMENGHI DOS SANTOS MATOS,166.125,4669,28.11,4783,95.96,0.738,-,39579634.76,33793333.75,80992.58,
Mococa,3530508,mocoquense,EDUARDO RIBEIRO BARISON,855.701,67681,79.14,69372,98.62,0.762,7.6,375116050.5,351264809,59315.81,
Mogi das Cruzes,3530607,mogiano,MARIA LUISA PICCOLOMINI BERTAIOLLI,712.532,451505,633.65,470302,97.1,0.783,15.51,2578829634,2699030159,57745.81,
Mogi Gua&ccedil;u,3530706,gua&ccedil;uano,RODRIGO FALSETTI,812.753,153658,189.06,160318,98.65,0.774,10.85,968896587.9,897069163.9,61395.03,
Mogi Mirim,3530805,mogi-miriano,PAULO DE OLIVEIRA E SILVA,497.709,92558,185.97,95742,98.51,0.784,9.67,771385522.4,723943201.1,87434.03,
Mombuca,3530904,mombucano,EVERTON TIAGO MORA PEDROSO,133.698,3722,27.84,3830,100,0.719,25,38834631.32,33835202.64,48143.1,
Mon&ccedil;&otilde;es,3531001,mon&ccedil;olense,DOUGLAS ANT&Ocirc;NIO HONORATO,104.352,1937,18.56,1947,100,0.772,-,41168845.67,33174590.54,40206.94,
Mongagu&aacute;,3531100,mongaguano,TERESA CRISTINA AGUIAR TOFANELLO WIAZOWSKI,142.521,61951,433.97,64845,97.58,0.754,16.49,442877045.6,395824310.7,24792.27,
Monte Alegre do Sul,3531209,monte-alegrense,JOSE RAFAEL VEZZAN,110.308,8627,78.21,8923,100,0.759,-,59730196.16,53623280.45,35302.58,
Monte Alto,3531308,monte-altense,MARIA HELENA AGUIAR RETTONDINI,346.95,47574,137.12,48758,100,0.768,7.11,280171723,264164793.3,64379.33,
Monte Apraz&iacute;vel,3531407,monte-aprazivelense,JO&Atilde;O ROBERTO CAMARGO,495.559,22280,44.96,22668,99.71,0.785,19.92,136543327.5,122886614,46613.99,
Monte Azul Paulista,3531506,monte-azulense,MARDQUEU SILVIO FRAN&Ccedil;A,263.463,18151,68.89,18337,99.38,0.753,10.81,153890111.6,158788793,52780.22,
Monte Castelo,3531605,monte-castelense,EDSON CARLOS OLIVEIRA DA SILVA,233.289,4222,18.08,4306,99.37,0.741,-,41973454.13,40939935.59,38357.93,
Monteiro Lobato,3531704,lobatense,EDMAR JOS&Eacute; DE ARAUJO,332.408,4138,12.44,4205,100,0.710,37.04,42654278.18,41986888.84,27523.2,
Monte Mor,3531803,monte-morense,MURILO ANT&Ocirc;NIO DE SOUSA RINALDO,240.566,64662,268.79,67832,96.57,0.733,13.4,415010598.5,387429294.9,93554.14,
Morro Agudo,3531902,morro-agudense,LEANDRO C&Eacute;SAR SILVA VALADARES,1388.127,27933,20.12,28521,99.35,0.712,12.05,249579668.4,243015179.6,70890.9,
Morungaba,3532009,morungabense,LUIS FERNANDO MIGUEL,146.752,13720,93.49,14147,97.61,0.715,22.35,108150240.7,93525663.36,55804.73,
Motuca,3532058,motuquense,FABIO DE MENEZES CHAVES,228.651,4034,17.64,4071,98.15,0.741,-,39598175.89,37380023.82,42396.42,
Murutinga do Sul,3532108,murutinguense,CRISTIANO ELEUT&Eacute;RIO SOARES DA SILVA,250.873,3737,14.90,3748,100,0.726,-,44469308.7,35730892.15,30365.02,
Nantes,3532157,nantense,MARLLON JAFFER ALBANO DE OLIVEIRA,286.444,2660,9.28,2697,98.61,0.714,-,42306220.82,35198868.06,71261.47,
Narandiba,3532207,narandibense,DANILLO CARVALHO DOS SANTOS,357.325,5713,15.99,5956,98.94,0.718,22.73,74578175.62,63589895.87,156845.2,
Natividade da Serra,3532306,nativense,EVAIL AUGUSTO DOS SANTOS,834.281,6999,8.40,7155,98.69,0.655,-,60063445.99,52924803.84,22778.21,
Nazar&eacute; Paulista,3532405,nazareano,AVANILDE APARECIDA GONZAGA CANEDO,326.392,18217,55.84,18675,99.64,0.678,19.32,144547971.1,115809908.7,32684.28,
Neves Paulista,3532504,nevense,NORIVAL DONIZETI ROSSALI,219.05,9699,44.28,9953,100,0.754,-,58782092.04,54205084.05,39652.71,
Nhandeara,3532603,nhandearense,ANTONIO MARQUES DO NASCIMENTO JUNIOR,436.159,9852,22.59,9915,100,0.751,12.05,75705056.66,78963964.46,51549.15,
Nipo&atilde;,3532702,nipoense,JOSE PEDRO RAMPIM,137.609,4750,34.52,4876,98.99,0.713,32.26,38310904.8,34237685.81,30888.28,
Nova Alian&ccedil;a,3532801,nova-aliancense,JURANDIR BARBOSA DE MORAIS,217.515,6693,30.77,6885,98.31,0.738,14.08,55935882.85,50695886.5,54010.23,
Nova Campina,3532827,nova campinense,ANTONIO ISAEL DE OLIVEIRA JUNIOR,385.375,8497,22.05,8630,98.61,0.651,8.4,74876662.65,65090433.45,30687.71,
Nova Cana&atilde; Paulista,3532843,novacanaense,THAIS CRISTINA COSTA MOREIRA,124.473,2032,16.32,2055,100,0.715,-,32440874.63,27993505.13,28135.96,
Nova Castilho,3532868,castilhense,MAICON GARCIA PIROLA,183.396,1062,5.79,1072,100,0.756,-,35472271.17,32814691.35,85901.61,
Nova Europa,3532900,nova-europense,LIDIANE LUIZE RODRIGUES,160.25,9311,58.10,9459,98.29,0.765,-,79278141.46,70839256.65,59757.23,
Nova Granada,3533007,granadense,LUIZ AUGUSTO SALVADOR,531.796,19419,36.52,19733,99.62,0.739,14.29,106442860.5,85090652.74,37712.6,
Nova Guataporanga,3533106,guataporanguense,JOSE MAURO LOURENCETTI,34.675,2156,63.12,2188,100,0.726,-,28618957.84,26412118.96,22008.84,
Nova Independ&ecirc;ncia,3533205,independentino,FERNANDO MACCHI SANTANA,265.028,4609,17.39,4847,100,0.735,-,64364321.9,54014126.08,62039.33,
Novais,3533254,novaense,PAULO CESAR DIAS PINHEIRO,117.772,4412,37.46,4463,100,0.719,-,82520160.42,71726688.23,23913.62,
Nova Luzit&acirc;nia,3533304,luzitaniense,MIGUEL JOS&Eacute; ARA&Uacute;JO JUNIOR,73.69,2837,38.43,2817,100,0.743,-,33354302.28,33539184.17,24702.07,
Nova Odessa,3533403,novaodessense,CL&Aacute;UDIO JOS&Eacute; SCHOODER,73.788,62019,840.50,64596,98.98,0.791,11.38,372874076,352150805.4,90509.31,
Novo Horizonte,3533502,novo-horizontino,FABIANO DE MELLO BELENTANI,931.743,38324,41.13,39494,99.36,0.753,14.78,272087061.7,233448058.2,60374.26,
Nuporanga,3533601,nuporanguense,DANIEL VIANA MELO,348.265,7391,21.22,7570,99.45,0.746,28.57,74878671.24,68209064.99,167167.74,
Ocau&ccedil;u,3533700,ocau&ccedil;uense,JO&Atilde;O BENEDITO COSTA E SILVA,301.036,4331,14.39,4418,100,0.717,32.26,41100211.7,35029617.52,37845.84,
&Oacute;leo,3533809,oleense,JORD&Atilde;O ANTONIO VIDOTTO,198.938,2512,12.63,2535,98.59,0.730,-,33238506.57,29039404.06,57010.97,
Ol&iacute;mpia,3533908,olimpiense,EUGENIO JOSE ZULIANI,802.393,55074,68.62,56874,97.62,0.773,7.52,491800282.9,498080281.5,64815.98,
Onda Verde,3534005,onda-verdense,NILSON NEVES DE SOUZA,242.946,4771,19.64,4942,99.48,0.738,37.04,54166768.52,45477200.89,77675.42,
Oriente,3534104,orientense,GERALDO MATHEUS MORIS,218.668,6085,27.83,6180,99.53,0.770,-,46153457.53,40392582.37,31894.61,
Orindi&uacute;va,3534203,orindiuvense,MIRELI CRISTINA LEITE RUVI&Eacute;RI MARTINS,247.378,6024,24.35,6157,100,0.767,-,70011465.76,65090533.35,137843.67,
Orl&acirc;ndia,3534302,orlandino,JORGE GABRIEL GRASI,291.765,38319,131.34,39144,99.57,0.780,13.73,285358532.2,321210899.7,84752.94,
Osasco,3534401,osasquense,GERSON DIAS PESSOA,64.999,728615,11217.40,759524,98.09,0.776,13.3,5415220757,5264464170,163878.12,
Oscar Bressane,3534500,bressanense,ANSELMO GIROTO,222.13,2470,11.12,2502,100,0.749,-,37455687.5,30834205.49,49959.23,
Osvaldo Cruz,3534609,osvaldo-cruzense,VERA LUCIA ALVES,248.038,31272,126.08,32112,100,0.762,-,159540033.7,139725857.9,51651.56,
Ourinhos,3534708,ourinhense,GUILHERME ANDREW GON&Ccedil;ALVES DA SILVA,295.818,103970,351.47,106911,99.27,0.778,14.05,967565733.4,946001667.6,47155.54,
Ouroeste,3534757,ouroestense,SEBASTI&Atilde;O CARLOS SILVA,288.648,10294,35.66,10660,99.51,0.770,19.61,126866371.7,104653439.5,65157.91,
Ouro Verde,3534807,ouro-verdense,JULIO CESAR DE MORI VECCHIATI,266.778,7779,29.16,7900,99.54,0.692,-,52366102.04,46894244.65,24025.09,
Pacaembu,3534906,pacaembuense,JOAO FRANCISCO MUGNAI NEVES,339.375,14877,43.84,15273,94.07,0.725,-,75776683.94,70960433.51,19173.47,
Palestina,3535002,palestinense,REINALDO APARECIDO DA CUNHA,697.701,11476,16.45,11704,100,0.732,-,95724252.08,81640757.53,52574.77,
Palmares Paulista,3535101,palmarense,LUCAS APARECIDO DA ASSUM&Ccedil;&Atilde;O,82.125,9650,117.50,9666,99.57,0.722,22.47,57713307.91,54436480.6,21725.02,
Palmeira d'Oeste,3535200,palmeirense,VALDIR SEMENSATI DE MORAES,318.696,8903,27.93,8971,100,0.753,-,54320632.61,54947574.79,34692.08,
Palmital,3535309,palmitalense,LUIS GUSTAVO MENDES MORAES,548.407,19594,35.73,19714,98.6,0.746,13.57,162031478.3,139599981.3,71746.79,
Panorama,3535408,panoramense,DANIEL GENOVA,356.05,14964,42.03,15227,99.27,0.722,12.12,91342014.85,83812173.47,26540.56,
Paragua&ccedil;u Paulista,3535507,paragua&ccedil;uense,ANTONIO TAKASHI SASADA,1001.492,41120,41.06,42049,100,0.762,20.98,315460879.2,284807095.6,76213.56,
Paraibuna,3535606,paraibunense,HELOISA ANTUNES DE FARIA SANTOS,809.576,17667,21.82,17959,96.75,0.719,-,155672055.1,132215971.5,23126.12,
Para&iacute;so,3535705,paraisense,OSVALTE JOSE BOVONI,155.186,6099,39.30,6218,100,0.749,17.86,74058452.13,71887359.8,71499.62,
Paranapanema,3535804,paranapanemense,RODOLFO HESSEL FANGANIELLO,1018.724,19395,19.04,19853,98.77,0.717,14.49,195066589.1,187809497.8,63034.16,
Paranapu&atilde;,3535903,paranapuense,DANIEL JUNIOR DURAN PINATTO,140.354,4031,28.72,4118,100,0.732,-,37937795.07,36020270.55,39854.31,
Parapu&atilde;,3536000,parapuense,MILTON MITIO IWAYAMA,366.676,10580,28.85,10720,100,0.737,-,76431436.52,67409340.74,108729.27,
Pardinho,3536109,pardinhense,CRISTIANO CAMARGO MOREIRA,208.223,7153,34.08,7435,99.33,0.727,-,68738324.88,60924421.09,72133.47,
Pariquera-A&ccedil;u,3536208,pariquerense,WAGNER BENTO DA COSTA,359.414,19233,53.51,19603,97.52,0.736,15.09,104369444.6,95315651.98,39156.5,
Parisi,3536257,parasiano,OCLAIR BAR&Atilde;O BENTO,84.737,2892,34.13,3030,100,0.721,-,39476878.59,31733189.28,23489.25,
Patroc&iacute;nio Paulista,3536307,patrocinense,M&Aacute;RIO MARCELO CARRARO BERTELLI,602.848,14512,24.07,14888,99.07,0.730,23.26,114076448.5,95908374.89,127481.55,
Paulic&eacute;ia,3536406,pauliceiense,ANTONIO SIMONATO,374.091,7955,21.26,8255,100,0.711,23.26,68145368.06,61182047.27,40527.21,
Paul&iacute;nia,3536505,paulinense,DANILO HENRIQUE MAC&Ecirc;DO DE BARROS,138.777,110537,796.51,116674,99.44,0.795,7.14,3226900496,2739224011,606740.73,
Paulist&acirc;nia,3536570,paulistaniense,LUIZ CARLOS MARQUES,256.178,2090,8.16,2156,98.82,0.718,-,37341160.23,31503548.47,35648.89,
Paulo de Faria,3536604,paulo-fariense,DIRCEU CASSIA FILHO,737.986,7400,10.03,7390,100,0.725,-,72283464.54,70006712.99,57587.27,
Pederneiras,3536703,pederneirense,IVANA MARIA BERTOLINI CAMARINHA,727.482,44827,61.62,46337,99.02,0.739,7.42,283381561.9,266273234.3,85672.05,
Pedra Bela,3536802,pedra-belense,VANDERLEI LOPES DA SILVA,158.588,6557,41.35,6745,100,0.677,12.99,40403448.62,39469197.68,22505.61,
Pedran&oacute;polis,3536901,pedranopolense,FAUSTO LUANO ROSA,260.101,2787,10.72,2856,98.84,0.742,-,37770702.32,30244844,41954.64,
Pedregulho,3537008,pedregulhense,CARLOS EDUARDO BARBOSA TEIXEIRA,712.604,15525,21.79,15737,98.87,0.715,5.05,116843901.2,100480374.8,91303.55,
Pedreira,3537107,pedreirense,F&Aacute;BIO VINICIUS POLIDORO,108.817,43112,396.19,44385,99.79,0.769,4.12,288052861.3,266218879.8,42152.8,
Pedrinhas Paulista,3537156,pedrinhense,FREDDIE COSTA NICOLAU,152.309,2804,18.41,2833,100,0.774,35.71,43750507.82,37908413.9,63469.02,
Pedro de Toledo,3537206,toledense,PAULO EDUARDO ALVES FERREIRA,672.83,11281,16.83,11617,98.54,0.696,20.2,75065557.14,71871182.69,18473.47,
Pen&aacute;polis,3537305,penapolense,CARLOS HENRIQUE ROSSI CATALANI,711.315,61679,86.71,63426,99.62,0.759,20.92,400285299.8,376472902.2,44475.1,
Pereira Barreto,3537404,pereira-barretense,HERM&Iacute;NIO BARBOSA KOMATSU,974.248,24095,24.73,24360,99.22,0.766,-,180235450.2,166333764.7,62081.74,
Pereiras,3537503,pereirense,OSMAR PASQUALINO RODRIGUES RAMOS JUNIOR,223.136,8737,39.16,9013,99.43,0.736,-,55119385,48935109.15,46979.86,
Peru&iacute;be,3537602,peruibense,FELIPE ANTONIO COLA&Ccedil;O BERNARDO,323.331,68352,209.53,70629,98.07,0.749,8.74,520384575.8,509730202.4,34629.51,
Piacatu,3537701,piacatuense,RICARDO FRANCISCO LEMES DA SILVA,232.488,5519,23.74,5631,99.53,0.732,-,46937957.26,40566777.67,29004.36,
Piedade,3537800,piedadense,GERALDO PINTO DE CAMARGO FILHO,746.903,52970,70.92,54266,98.17,0.716,11.06,264039800.3,238777663.6,34730.07,
Pilar do Sul,3537909,pilarense,CLAYTON ALVARO MACHADO,681.248,27619,40.54,28459,99.72,0.690,9.95,164319509.9,142407697.6,54411.6,
Pindamonhangaba,3538006,pindamonhangabense,RICARDO ALBERTO PEREIRA PIORINO,731.356,165428,226.19,172681,99.76,0.773,10.13,1029172463,989434178.1,82662.43,
Pindorama,3538105,pindoramense,GERALDO FELIPPE JUNIOR,184.825,14542,78.68,14704,99.74,0.737,-,103446617.9,90363663.98,50426.04,
Pinhalzinho,3538204,pinhalzinhense,SEBASTIAO ZANARDI,154.529,15224,98.52,15676,98.56,0.725,18.29,85671069.11,81326962.8,27351.87,
Piquerobi,3538303,piquerobiense,ADRIANA CRIVELLI BIFFE,482.769,3264,6.76,3287,100,0.711,-,41577367.13,33750631.21,30728.03,
Piquete,3538501,piquetense,ROMULO KAZIMIERZ LUSZCZYNSKI,175.996,12490,70.97,12516,98.48,0.757,9.43,70078047.12,61998079.02,18203.42,
Piracaia,3538600,piracaiense,ANDR&Eacute; HENRIQUE ROG&Eacute;RIO,385.64,26029,67.51,26795,98.03,0.739,9.58,200656218.6,176056811.6,30713.77,
Piracicaba,3538709,piracicabano,HELIO DONIZETE ZANATTA,1377.173,423323,307.19,440835,98.69,0.785,11.2,3268108366,3164798171,104770.09,
Piraju,3538808,pirajuense,CARLOS ALBERTO CAMARGO LIMA,504.591,29436,58.34,30294,99.24,0.758,6.92,167055541.2,150503228.3,36982.93,
Piraju&iacute;,3538907,pirajuiense,ROSALINA SONIA DOS SANTOS,823.758,22431,27.23,22734,99.65,0.749,5.52,141517156.1,135098502.6,32892.37,
Pirangi,3539004,piranginense,VANDERLEI ROBSON DE OLIVEIRA,215.809,10885,50.44,11085,100,0.756,-,71170365.78,65792699.58,49200.3,
Pirapora do Bom Jesus,3539103,piraporano,GREGORIO RODRIGUES PONTES MAGLIO,108.304,18370,169.33,18925,98.92,0.727,23.15,134128055.9,124248898.3,37741.62,
Pirapozinho,3539202,pirapozense,LUCAS PADOVAN DOS SANTOS PAVANI,477.673,25348,53.07,26097,100,0.776,4.15,149463929.6,130082387.5,55662.32,
Pirassununga,3539301,pirassununguense,FERNANDO LUBRECHET,727.714,73545,101.15,75594,99.12,0.801,15.77,449184055.8,410768249.2,58527.61,
Piratininga,3539400,piratiningano,CARLOS ALESSANDRO FRANCO BORRO DE MATOS,402.409,15108,37.54,15657,99.74,0.779,6.45,100409276,98192651.16,25791.29,
Pitangueiras,3539509,pitangueirense,DIMAS TADEU BOLZAN,430.638,33674,78.20,34361,99.76,0.723,14.96,236780399.2,226891399.3,54349.34,
Planalto,3539608,planaltense,ROSIMEIRE BARBOSA SILVERIO,289.825,4389,15.14,4451,100,0.719,-,55555732.97,47482270.19,75526.73,
Platina,3539707,platinense,DONIZETE APARECIDO FERREIRA DE LIMA,327.48,3025,9.24,3055,100,0.719,-,49381049,42313758.87,53026.63,
Po&aacute;,3539806,poaense,SAULO DE OLIVEIRA SOUZA,17.264,103765,6010.48,106355,99.39,0.771,11.21,550411210.1,495692981.9,44434.64,
Poloni,3539905,poloniense,ANDREIA LUZIA FACHINI BRAIT,135.119,5592,41.39,5702,98.72,0.766,-,45190363.27,39454555.1,35764.39,
Pomp&eacute;ia,3540002,pompeiano,DIOGO MONTEFUSCO CESCHIM SILVA,784.674,20196,25.74,20520,99.62,0.786,4.83,190815556.8,166796854,124235.74,
Ponga&iacute;,3540101,pongaiense,GILHIARD HENRIQUE DE BORTOLI,183.399,3395,18.51,3440,100,0.755,-,38348890.86,31273416.66,36636.29,
Pontal,3540200,pontalense,JOS&Eacute; CARLOS NEVES SILVA,356.371,37607,105.53,38286,97.14,0.725,12.82,225655316.5,214003521.1,57275.34,
Pontalinda,3540259,pantalindense,SISINIO DE OLIVEIRA LE&Atilde;O,209.504,4127,19.70,4198,99.14,0.702,-,49809520.36,34845432.88,31983.76,
Pontes Gestal,3540309,pontes-gestalense,MARCEL DIAS LEITE,217.505,2387,10.97,2411,98.42,0.732,-,47344183.48,45297361.34,63887.16,
Populina,3540408,populinense,JOAO CEZAR ROBLES BRANDINI,315.938,4127,13.06,4182,99.15,0.714,-,41866760.57,39903315.82,37808.91,
Porangaba,3540507,porangabense,JO&Atilde;O CARLOS ALVES BARROS,265.968,10451,39.34,10850,100,0.703,11.11,69561649.59,61590846.79,29585.64,
Porto Feliz,3540606,porto-felicense,C&Eacute;LIO PEIXOTO DOS SANTOS,556.706,56497,101.48,58605,99.19,0.758,14.21,556738393.8,521889577.7,89687.04,
Porto Ferreira,3540705,ferreirense,ANDRE LUIS ANCHAO BRAGA,245.327,52649,214.98,53966,99.53,0.751,1.88,346519798.5,353083048.1,58298.46,
Potim,3540754,potinense,EMERSON KIOGI TANAKA,44.644,20392,456.78,20801,99.64,0.697,-,99382102.92,89189317.83,17422.07,
Potirendaba,3540804,potirendabano,GISLAINE MONTANARI FRANZOTTI,342.492,18496,54.00,19097,99.82,0.747,-,142715318.2,134675221.3,54996.89,
Pracinha,3540853,pracinhense,LAERCIO BIASI,63.141,2578,40.89,2589,90.7,0.696,-,28698202.47,25969351.05,17068.01,
Prad&oacute;polis,3540903,pradopolense,SAULO EMMANUEL ATIQUE FILHO,164.386,17078,102.03,17299,97.5,0.733,6.02,142901241.5,127109009.8,85302.49,
Praia Grande,3541000,praia-grandense,ALBERTO PEREIRA MOUR&Atilde;O,149.652,349935,2338.32,368539,99.2,0.754,9.76,2754058096,2593454217,32567.89,
Prat&acirc;nia,3541059,pratino,OSMIR JOS&Eacute; F&Eacute;LIX,175.1,5126,29.27,5264,100,0.701,37.5,46294960.86,38066074.43,49288.83,
Presidente Alves,3541109,alvense,CRISTIANO DOS SANTOS,286.642,3804,13.27,3830,97.78,0.735,-,36359716.54,30364925.69,29698.1,
Presidente Bernardes,3541208,bernardense,CLEBERSON DUARTE DE SOUZA,749.234,14490,19.34,14803,98.22,0.757,21.98,95301128.07,79438706.36,24277.67,
Presidente Epit&aacute;cio,3541307,epitaciano,ANDR&Eacute; FERRAZ LIMA,1260.281,39505,31.35,40322,99.02,0.750,2.52,237926584.1,230661070.2,38520.75,
Presidente Prudente,3541406,prudentino,MILTON CARLOS DE MELLO,560.637,225668,402.52,234706,99,0.806,12.77,1228973859,1090536549,51480.93,
Presidente Venceslau,3541505,venceslauense,BARBARA MEDEIROS VILCHES,755.203,35201,46.61,35810,98.77,0.763,13.47,211861690.7,217904501.8,31143.95,
Promiss&atilde;o,3541604,promissense,HAMILTON LUIS FOZ,779.2,35131,45.09,35973,99.46,0.743,13.85,209403032.2,184927987.3,95348.29,
Quadra,3541653,quadrense,LHEONIDES DE OLIVEIRA ANDRADE,205.672,3405,16.56,3477,98.53,0.678,-,43324744.26,36291148.91,61662.37,
Quat&aacute;,3541703,quataense,M&Aacute;RCIO BID&Oacute;IA,651.341,13163,20.21,13412,98.72,0.738,8,105634674.6,106207761.4,82621.23,
